order_id,customer_id,order_ts,status,payment_method
3001,1013,2026-05-18 19:32:33,completed,card
3002,1043,2026-02-15 06:04:58,pending,card
3003,1006,2026-02-16 04:53:02,completed,card
3004,1018,2026-03-31 01:02:42,returned,card
3005,1011,2026-03-14 21:10:06,completed,card
3006,1043,2026-02-22 20:12:24,returned,bank_transfer
3007,1042,2026-01-15 20:45:35,completed,paypal
3008,1011,2026-04-15 17:16:20,cancelled,card
3009,1011,2026-04-01 18:17:19,completed,card
3010,1041,2026-05-15 15:04:01,completed,card
3011,1044,2026-03-05 23:16:01,pending,bank_transfer
3012,1004,2026-02-15 11:26:28,completed,card
3013,1026,2026-02-22 23:45:46,completed,card
3014,1037,2026-05-21 09:43:22,completed,card
3015,1042,2026-04-08 22:35:10,completed,paypal
3016,1030,2026-01-29 17:49:47,completed,card
3017,1016,2026-05-26 15:54:01,completed,paypal
3018,1017,2026-05-27 01:20:12,completed,card
3019,1038,2026-03-20 13:20:28,completed,card
3020,1009,2026-04-10 22:33:52,completed,card
3021,1049,2026-01-11 03:34:41,completed,card
3022,1041,2026-02-02 01:34:12,returned,card
3023,1039,2026-01-14 08:03:38,completed,card
3024,1039,2026-04-02 21:16:14,completed,card
3025,1036,2026-01-04 05:30:19,returned,bank_transfer
3026,1008,2026-05-14 09:00:02,completed,bank_transfer
3027,1018,2026-05-31 05:55:46,returned,card
3028,1008,2026-02-27 23:48:35,completed,card
3029,1030,2026-01-02 15:07:27,cancelled,bank_transfer
3030,1017,2026-04-09 04:54:01,pending,card
3031,1033,2026-01-22 15:54:37,returned,card
3032,1041,2026-04-10 13:52:49,completed,card
3033,1010,2026-03-15 14:33:53,pending,card
3034,1035,2026-06-02 04:39:44,completed,card
3035,1039,2026-03-05 22:40:36,completed,card
3036,1008,2026-03-13 11:36:46,completed,card
3037,1004,2026-02-17 18:32:34,completed,card
3038,1006,2026-05-24 02:56:11,completed,card
3039,1049,2026-04-15 10:35:26,pending,card
3040,1009,2026-05-10 02:39:42,completed,paypal
3041,1011,2026-02-22 11:15:12,completed,paypal
3042,1028,2026-02-12 03:03:04,completed,bank_transfer
3043,1047,2026-05-15 23:00:58,completed,bank_transfer
3044,1020,2026-03-20 11:26:19,returned,paypal
3045,1024,2026-03-28 01:41:39,completed,card
3046,1008,2026-02-19 03:19:26,completed,card
3047,1022,2026-01-06 02:01:36,completed,paypal
3048,1015,2026-04-26 06:19:46,completed,card
3049,1005,2026-05-19 10:46:40,returned,card
3050,1015,2026-01-15 02:06:29,completed,card
3051,1005,2026-04-11 20:08:28,completed,card
3052,1043,2026-04-06 06:11:43,completed,paypal
3053,1009,2026-05-22 11:04:02,completed,paypal
3054,1031,2026-02-18 04:26:57,completed,card
3055,1013,2026-01-20 07:35:24,completed,paypal
3056,1028,2026-03-11 19:08:46,completed,card
3057,1030,2026-05-23 13:44:23,completed,bank_transfer
3058,1042,2026-05-07 11:24:57,completed,card
3059,1026,2026-05-23 09:43:16,completed,card
3060,1016,2026-02-08 04:52:28,completed,paypal
3061,1029,2026-01-29 05:17:48,completed,card
3062,1018,2026-04-01 20:00:11,completed,card
3063,1029,2026-06-07 21:39:23,completed,card
3064,1004,2026-05-08 15:12:55,completed,card
3065,1006,2026-05-28 07:52:11,completed,card
3066,1027,2026-04-06 07:15:06,completed,card
3067,1026,2026-01-13 09:15:38,completed,card
3068,1001,2026-03-18 19:29:50,completed,card
3069,1019,2026-03-25 03:21:27,returned,bank_transfer
3070,1036,2026-05-10 12:32:37,cancelled,paypal
3071,1010,2026-02-07 20:59:17,completed,card
3072,1004,2026-04-24 11:10:32,cancelled,paypal
3073,1004,2026-05-27 05:49:07,completed,card
3074,1004,2026-04-25 10:27:53,completed,paypal
3075,1034,2026-02-01 13:41:22,completed,paypal
3076,1006,2026-02-07 02:00:25,completed,paypal
3077,1005,2026-05-13 02:43:06,completed,card
3078,1008,2026-04-22 14:52:47,completed,paypal
3079,1039,2026-01-09 17:12:34,completed,card
3080,1027,2026-05-09 15:34:51,completed,paypal
3081,1034,2026-03-04 10:23:25,completed,card
3082,1043,2026-05-21 01:41:44,completed,card
3083,1017,2026-03-19 20:29:44,completed,bank_transfer
3084,1042,2026-03-01 06:05:15,completed,card
3085,1049,2026-01-16 02:04:31,completed,card
3086,1040,2026-04-21 07:44:25,completed,card
3087,1035,2026-02-12 09:22:15,completed,card
3088,1009,2026-03-10 18:29:56,completed,card
3089,1024,2026-02-26 08:08:15,completed,card
3090,1035,2026-05-18 14:44:01,completed,paypal
3091,1042,2026-04-14 17:02:32,completed,bank_transfer
3092,1036,2026-03-01 03:12:21,returned,card
3093,1009,2026-02-22 08:30:01,completed,card
3094,1048,2026-04-19 10:12:32,completed,card
3095,1019,2026-04-29 10:42:40,completed,bank_transfer
3096,1022,2026-02-10 12:49:56,returned,paypal
3097,1017,2026-04-10 03:22:36,completed,card
3098,1004,2026-01-19 22:08:31,returned,card
3099,1018,2026-01-10 13:27:33,completed,card
3100,1050,2026-01-27 09:39:49,returned,card
3101,1011,2026-05-25 22:23:11,completed,paypal
3102,1046,2026-03-26 01:09:55,completed,card
3103,1008,2026-01-16 14:39:42,returned,card
3104,1035,2026-01-08 23:54:11,completed,paypal
3105,1036,2026-01-30 18:10:01,completed,card
3106,1003,2026-03-02 20:35:16,completed,card
3107,1023,2026-02-11 19:01:39,returned,card
3108,1043,2026-01-21 23:03:10,completed,bank_transfer
3109,1036,2026-03-21 21:51:21,completed,bank_transfer
3110,1010,2026-02-16 23:16:33,completed,card
3111,1027,2026-01-06 19:30:46,completed,bank_transfer
3112,1022,2026-06-02 22:11:07,completed,bank_transfer
3113,1048,2026-06-08 10:21:56,completed,card
3114,1011,2026-06-03 21:25:52,returned,card
3115,1025,2026-01-09 12:28:11,completed,card
3116,1013,2026-06-09 13:34:09,completed,card
3117,1020,2026-06-10 07:58:36,completed,card
3118,1002,2026-05-10 03:58:39,completed,card
3119,1022,2026-02-25 02:23:03,completed,bank_transfer
3120,1018,2026-03-11 04:27:34,returned,paypal
3121,1026,2026-05-13 22:47:02,completed,card
3122,1002,2026-01-24 09:31:53,completed,card
3123,1038,2026-02-22 13:09:46,completed,card
3124,1039,2026-03-27 09:12:50,completed,bank_transfer
3125,1021,2026-03-27 17:44:34,completed,paypal
3126,1008,2026-03-17 19:08:26,completed,card
3127,1017,2026-01-10 14:51:22,cancelled,card
3128,1001,2026-04-12 23:00:15,completed,bank_transfer
3129,1047,2026-05-26 01:44:16,cancelled,bank_transfer
3130,1013,2026-03-13 17:23:42,completed,card
3131,1043,2026-03-07 02:50:37,completed,card
3132,1043,2026-01-26 04:47:45,cancelled,card
3133,1033,2026-03-03 01:22:15,returned,card
3134,1021,2026-03-21 03:19:18,returned,card
3135,1036,2026-01-26 17:12:14,completed,card
3136,1043,2026-03-16 14:56:42,returned,bank_transfer
3137,1012,2026-05-01 12:30:26,completed,card
3138,1026,2026-04-18 09:34:20,completed,card
3139,1019,2026-02-11 19:31:20,completed,paypal
3140,1039,2026-05-09 03:08:57,completed,card
3141,1029,2026-03-28 20:36:50,returned,card
3142,1033,2026-04-03 21:12:26,cancelled,card
3143,1043,2026-01-18 11:10:33,completed,paypal
3144,1043,2026-05-04 21:43:05,completed,card
3145,1006,2026-06-09 22:07:47,cancelled,card
3146,1044,2026-03-03 06:39:34,completed,card
3147,1010,2026-01-06 17:49:50,completed,card
3148,1031,2026-04-30 16:44:35,pending,card
3149,1030,2026-03-23 11:26:06,returned,paypal
3150,1013,2026-05-21 11:44:04,returned,card
3151,1032,2026-03-20 14:31:02,completed,card
3152,1042,2026-05-15 12:33:09,completed,bank_transfer
3153,1050,2026-01-22 16:43:58,pending,card
3154,1015,2026-02-05 03:41:28,returned,paypal
3155,1030,2026-01-11 18:02:04,completed,card
3156,1008,2026-03-31 15:15:58,completed,card
3157,1043,2026-04-15 03:15:14,completed,paypal
3158,1021,2026-05-28 15:43:12,completed,paypal
3159,1047,2026-04-10 00:26:12,completed,paypal
3160,1029,2026-02-01 21:43:46,cancelled,paypal
3161,1029,2026-02-21 07:55:12,cancelled,card
3162,1041,2026-02-24 20:21:52,pending,bank_transfer
3163,1034,2026-04-06 02:23:08,returned,card
3164,1018,2026-03-28 09:57:17,completed,bank_transfer
3165,1019,2026-02-16 12:49:09,completed,card
3166,1021,2026-04-16 21:17:30,completed,card
3167,1010,2026-02-15 21:45:23,completed,bank_transfer
3168,1010,2026-05-19 04:09:06,completed,card
3169,1027,2026-03-22 03:33:02,completed,paypal
3170,1030,2026-03-23 17:38:54,completed,card
3171,1027,2026-03-18 15:05:36,pending,paypal
3172,1045,2026-01-05 19:01:31,pending,paypal
3173,1025,2026-04-04 14:53:12,completed,card
3174,1020,2026-05-28 07:26:54,completed,card
3175,1035,2026-05-27 03:40:31,cancelled,paypal
3176,1039,2026-02-13 19:47:05,completed,card
3177,1018,2026-03-27 15:08:34,completed,card
3178,1025,2026-03-08 06:28:37,returned,bank_transfer
3179,1026,2026-05-22 14:55:47,completed,card
3180,1009,2026-05-02 19:55:39,completed,card
3181,1026,2026-04-26 22:25:12,completed,paypal
3182,1002,2026-01-18 07:13:24,returned,card
3183,1009,2026-04-01 15:40:14,completed,card
3184,1017,2026-03-16 14:45:07,completed,card
3185,1030,2026-03-06 11:12:42,completed,bank_transfer
3186,1025,2026-02-25 00:46:11,cancelled,card
3187,1017,2026-06-13 02:58:00,completed,paypal
3188,1002,2026-05-27 10:42:21,completed,card
